,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
38848,2016-03-29 23:53:33,Polo_6n_Ohne_TÜV_abzugeben,privat,Angebot,150,control,,1995,manuell,45,polo,150000,0,,volkswagen,nein,2016-03-29 00:00:00,0,38110,2016-04-06 21:45:50
146368,2016-03-10 17:53:46,BMW_114i,privat,Angebot,14300,control,limousine,2013,manuell,102,1er,40000,1,benzin,bmw,nein,2016-03-10 00:00:00,0,45894,2016-04-05 19:45:56
146263,2016-03-20 18:50:56,Volkswagen_Golf_1.4,privat,Angebot,1999,test,limousine,1999,manuell,75,golf,150000,3,benzin,volkswagen,nein,2016-03-20 00:00:00,0,24109,2016-03-28 20:16:52
191313,2016-03-07 19:38:14,VW_Golf_3_GT__1_8L__90_PS_4_tuerig__Tuev_03/2017__AHK__Euro_2,privat,Angebot,650,control,limousine,1995,manuell,90,golf,150000,6,benzin,volkswagen,nein,2016-03-07 00:00:00,0,37186,2016-03-08 11:46:01
116063,2016-03-22 16:55:27,Peugeot_J_5_TD_1400,privat,Angebot,6950,test,bus,1990,manuell,95,andere,150000,7,diesel,peugeot,nein,2016-03-22 00:00:00,0,51429,2016-04-04 07:46:38
171478,2016-03-11 11:56:44,Opel_Astra_1.4Turbo_Innovation_Navi_Xenon_Parkpiloten,privat,Angebot,10700,control,limousine,2010,manuell,140,astra,40000,9,benzin,opel,nein,2016-03-11 00:00:00,0,14974,2016-04-07 03:46:14
191658,2016-03-27 19:56:31,Opel_Astra_H_1_7_CDTI_Top_Zustand_+_NAVI,privat,Angebot,2900,control,kombi,2004,manuell,80,astra,150000,12,,opel,nein,2016-03-27 00:00:00,0,87700,2016-04-05 18:45:55
95508,2016-03-28 20:49:19,Mercedes_Benz_E_200_Kompressor_AHK_Klima_Schiebedach...,privat,Angebot,3550,control,limousine,2001,manuell,163,e_klasse,150000,8,benzin,mercedes_benz,nein,2016-03-28 00:00:00,0,49624,2016-04-07 03:44:32
102990,2016-04-05 10:58:12,Skoda_Superb_Combi_2.0_TDI_DSG_Scheckheft,privat,Angebot,14500,control,kombi,2010,automatik,170,superb,150000,2,diesel,skoda,ja,2016-04-05 00:00:00,0,41179,2016-04-05 11:46:05
334095,2016-03-29 08:53:08,BMW_Z4,privat,Angebot,10800,control,cabrio,2002,manuell,192,z_reihe,100000,11,benzin,bmw,nein,2016-03-29 00:00:00,0,74889,2016-04-05 19:16:23
8646,2016-03-25 15:53:32,Opel_Corsa_1_0,privat,Angebot,3500,test,kleinwagen,2007,manuell,60,corsa,60000,11,benzin,opel,nein,2016-03-25 00:00:00,0,24848,2016-03-30 06:18:31
184517,2016-03-27 23:55:37,Hyundai_Atos_Prime_1.0i_GLS_mit_Faltdach_Tuev_NEU,privat,Angebot,1650,test,kleinwagen,2002,manuell,58,andere,125000,2,benzin,hyundai,nein,2016-03-27 00:00:00,0,46147,2016-04-06 09:16:12
187376,2016-03-21 08:55:08,Bmw_325i_Cabrio,privat,Angebot,6500,control,cabrio,2002,manuell,192,3er,150000,5,benzin,bmw,nein,2016-03-21 00:00:00,0,66679,2016-04-06 02:45:24
22463,2016-03-24 21:39:11,Renault_Megane_Grandtour_1.6_Privilege_16V,privat,Angebot,750,test,kombi,2001,manuell,107,megane,150000,7,benzin,renault,nein,2016-03-23 00:00:00,0,55129,2016-04-04 18:46:55
224148,2016-04-04 14:25:16,Bmw_530_diesel,privat,Angebot,6900,test,,2016,automatik,218,,150000,3,,bmw,,2016-04-04 00:00:00,0,65205,2016-04-05 12:16:48
159068,2016-03-14 15:57:05,Mercedes_Benz_E200_Elegance,privat,Angebot,1200,control,limousine,1999,automatik,0,e_klasse,150000,1,benzin,mercedes_benz,ja,2016-03-14 00:00:00,0,45770,2016-03-16 06:16:59
267169,2016-03-08 21:39:21,AUDI_A6_LIMUSINE_DIESEL_TÜV_9.17_TOP,privat,Angebot,1800,control,limousine,1998,automatik,150,a6,150000,9,diesel,audi,nein,2016-03-08 00:00:00,0,26810,2016-03-08 21:39:21
366704,2016-03-13 18:53:06,Skoda_Fabia_1.4_16V_Elegance,privat,Angebot,1649,test,kleinwagen,2001,manuell,101,fabia,150000,7,benzin,skoda,nein,2016-03-13 00:00:00,0,88048,2016-03-13 18:53:06
188758,2016-04-01 07:01:13,Skoda_Fabia_1_4_16V,privat,Angebot,2100,test,kombi,2003,manuell,75,fabia,150000,9,benzin,skoda,nein,2016-04-01 00:00:00,0,46562,2016-04-07 06:15:29
273899,2016-03-17 18:47:37,Renault_Grand_Scenic_dCi_130_FAP_Dynamique,privat,Angebot,9500,control,bus,2011,manuell,131,andere,125000,1,diesel,renault,nein,2016-03-17 00:00:00,0,32120,2016-04-05 03:18:22
96235,2016-04-01 22:49:02,BMW_316i_mit_TÜV,privat,Angebot,499,test,limousine,1995,manuell,0,3er,150000,5,benzin,bmw,,2016-04-01 00:00:00,0,67574,2016-04-05 21:45:03
14438,2016-03-21 18:38:00,Mazda_6_2.0_Sport_CD_DPF_Exclusive_Xenon_Temp_Navi_TOP,privat,Angebot,3700,test,limousine,2007,manuell,143,6_reihe,150000,9,diesel,mazda,nein,2016-03-21 00:00:00,0,86983,2016-04-04 17:47:29
203718,2016-03-29 02:32:42,Opel_Corsa_B,privat,Angebot,950,control,kleinwagen,1998,manuell,54,corsa,150000,8,benzin,opel,nein,2016-03-29 00:00:00,0,65203,2016-03-30 14:34:22
201766,2016-04-04 14:48:14,Kia_pro_Ceed_1.6_GDI_Edition_7,privat,Angebot,12499,test,limousine,2014,manuell,135,ceed,30000,3,benzin,kia,nein,2016-04-04 00:00:00,0,68161,2016-04-06 16:17:18
197933,2016-04-04 16:53:40,Fotd_Fiesta,privat,Angebot,8500,test,kleinwagen,2011,,82,fiesta,40000,10,benzin,ford,nein,2016-04-04 00:00:00,0,21255,2016-04-06 18:46:41
208659,2016-04-03 22:49:31,Audi_A4_Avant_1_8_TAutomatik_Som_&_win_NEU_mit_ALUFELGEN,privat,Angebot,3300,control,kombi,2002,automatik,0,a4,150000,0,benzin,audi,nein,2016-04-03 00:00:00,0,36266,2016-04-06 00:45:15
86696,2016-04-03 12:53:32,BMW_Z4_roadster_2.2i,privat,Angebot,9900,control,cabrio,2005,manuell,170,z_reihe,100000,4,benzin,bmw,nein,2016-04-03 00:00:00,0,26802,2016-04-05 11:45:29
316185,2016-03-10 16:44:27,Opel_Adam_1.4_Slam,privat,Angebot,14900,control,kleinwagen,2014,manuell,87,andere,30000,12,benzin,opel,nein,2016-03-10 00:00:00,0,89537,2016-03-23 14:15:59
259943,2016-04-04 15:53:49,Ford_Escort,privat,Angebot,500,test,kleinwagen,1996,manuell,0,escort,80000,0,benzin,ford,,2016-04-04 00:00:00,0,45883,2016-04-04 15:53:49
357528,2016-04-03 23:56:51,Audi_A4_3.0_Quattro_Pdf,privat,Angebot,8550,control,limousine,2007,automatik,232,a4,150000,8,diesel,audi,nein,2016-04-03 00:00:00,0,13355,2016-04-06 08:16:16
70896,2016-03-19 14:43:47,Mercedes_Benz_CLK_Coupe_280_7G_TRONIC_Avantgarde,privat,Angebot,13900,test,coupe,2006,automatik,231,clk,150000,8,benzin,mercedes_benz,nein,2016-03-19 00:00:00,0,54636,2016-04-06 21:18:33
304053,2016-03-14 16:53:55,Toyota_Corolla_Verso_1.8_Team_/_Sehr_gepflegt_!!,privat,Angebot,7950,test,bus,2008,manuell,129,verso,80000,3,benzin,toyota,nein,2016-03-14 00:00:00,0,10117,2016-03-20 06:15:36
217736,2016-03-19 21:36:20,Opel_Corsa_12V,privat,Angebot,800,control,kleinwagen,1999,manuell,54,corsa,150000,2,benzin,opel,nein,2016-03-19 00:00:00,0,68309,2016-03-19 23:43:34
367588,2016-03-05 16:55:27,Toyota_Yaris_Sol_1_3l__87_PS,privat,Angebot,3850,control,kleinwagen,2007,manuell,87,yaris,125000,10,benzin,toyota,nein,2016-03-05 00:00:00,0,24955,2016-03-12 04:46:56
277604,2016-03-30 20:48:07,Audi_A6_2.4_Automatik_Voll_Ausstattung_TÜV_Jun16,privat,Angebot,1450,control,limousine,1999,automatik,165,a6,150000,6,benzin,audi,nein,2016-03-30 00:00:00,0,27374,2016-04-05 10:47:20
95040,2016-03-28 04:36:24,BMW_320i_touring,privat,Angebot,700,control,kombi,1999,manuell,150,3er,150000,6,benzin,bmw,nein,2016-03-28 00:00:00,0,87700,2016-04-06 10:46:41
161791,2016-03-31 22:56:32,Suche_zuverlaessigen_VW_Touran,privat,Angebot,5000,test,,2007,,0,touran,5000,1,diesel,volkswagen,nein,2016-03-31 00:00:00,0,58636,2016-04-02 20:15:50
69127,2016-03-29 14:50:35,SUV_Nissan_Navara_2_5_Diesel_Gruene_Plakette_Tausch_Moeglich,privat,Angebot,0,test,suv,2006,manuell,0,navara,150000,12,diesel,nissan,nein,2016-03-29 00:00:00,0,3042,2016-03-29 14:50:35
349469,2016-03-23 16:54:17,Kia_Carnival_HPDi_top_Zustand_TÜV_neu,privat,Angebot,2000,test,bus,2002,manuell,144,carnival,150000,5,diesel,kia,nein,2016-03-23 00:00:00,0,59929,2016-04-05 21:46:05
361835,2016-03-16 18:56:25,BMW_E30_316i_2_Hand_Diamantschwarz,privat,Angebot,800,control,limousine,1989,manuell,104,3er,150000,0,,bmw,,2016-03-16 00:00:00,0,15838,2016-03-20 19:19:45
290335,2016-03-14 19:42:55,BMW_520i._E39,privat,Angebot,1200,control,limousine,1998,manuell,150,5er,150000,6,benzin,bmw,nein,2016-03-14 00:00:00,0,52076,2016-03-17 09:15:56
89306,2016-03-21 01:36:20,Fiat_Panda_1.2_Active_***VB***,privat,Angebot,6699,test,kleinwagen,2012,manuell,69,panda,10000,12,benzin,fiat,nein,2016-03-21 00:00:00,0,8529,2016-04-05 23:45:05
14571,2016-03-27 15:37:02,Audi_A3_2.0_TDI_S_Line_Sportpaket_plus,privat,Angebot,3087,control,kombi,2005,manuell,140,a3,150000,6,diesel,audi,nein,2016-03-27 00:00:00,0,76646,2016-03-27 15:37:02
59416,2016-03-23 18:51:47,BMW_523i_Aut.,privat,Angebot,9950,test,limousine,2006,automatik,177,5er,150000,12,benzin,bmw,nein,2016-03-23 00:00:00,0,33790,2016-04-05 23:45:44
211007,2016-04-01 07:58:51,Mercedes_Benz_C_200_Kompressor_Automatik,privat,Angebot,10500,test,limousine,2007,automatik,184,c_klasse,100000,8,benzin,mercedes_benz,nein,2016-04-01 00:00:00,0,50737,2016-04-07 05:44:39
4532,2016-04-04 10:50:14,BMW_118d___DVD_Navi___Leder___Service&Reifen&TÜV_NEU,privat,Angebot,16900,control,cabrio,2009,manuell,143,1er,90000,2,diesel,bmw,nein,2016-04-04 00:00:00,0,22397,2016-04-06 12:17:47
113601,2016-03-13 16:42:26,Ford_Transit_350_L_TD_125T300_Hoch+Lang,privat,Angebot,2150,test,bus,2003,manuell,125,transit,150000,5,diesel,ford,ja,2016-03-13 00:00:00,0,46238,2016-04-06 17:45:28
220566,2016-03-28 16:50:37,Z3_1_9_Cabrio_M3_Optik,privat,Angebot,5500,test,,2017,manuell,118,z_reihe,150000,6,,bmw,nein,2016-03-28 00:00:00,0,88213,2016-04-06 22:17:40
83041,2016-03-05 16:47:34,Ford_Fiesta_1.6_TDCi_Econetic,privat,Angebot,5800,control,kleinwagen,2009,manuell,90,fiesta,100000,4,diesel,ford,nein,2016-03-05 00:00:00,0,14476,2016-03-12 03:45:13
172258,2016-03-21 08:55:45,Volkswagen_Passat_2.8_VR6_Exclusiv,privat,Angebot,750,control,limousine,1996,automatik,174,passat,150000,6,benzin,volkswagen,nein,2016-03-21 00:00:00,0,39365,2016-03-28 02:17:54
368636,2016-03-11 15:57:28,OPEL_Meriva_2007_92000km_TÜV_neu,privat,Angebot,5000,test,kombi,2007,manuell,0,meriva,100000,0,benzin,opel,nein,2016-03-11 00:00:00,0,96465,2016-04-05 12:47:41
293238,2016-03-17 21:44:54,Peugeot_106_zu_verkaufen,privat,Angebot,700,test,,2005,,0,,150000,0,benzin,peugeot,,2016-03-17 00:00:00,0,66589,2016-04-07 11:17:02
303992,2016-03-19 11:56:30,Mercedes_E270_CDI_Vollaustattung_TÜV_neu,privat,Angebot,5300,test,limousine,2003,automatik,0,e_klasse,150000,7,diesel,mercedes_benz,,2016-03-19 00:00:00,0,40699,2016-03-20 13:45:27
345157,2016-03-28 19:55:02,BMW_520i_E34__24V_Executive__TÜV_10/16_Euro2__2_Vorb.,privat,Angebot,1700,control,limousine,1994,manuell,150,5er,150000,3,benzin,bmw,nein,2016-03-28 00:00:00,0,38300,2016-04-01 05:18:02
37885,2016-03-11 15:37:46,Audi_A4_Avant_2.0_TDI_Ambition_/Navi/_BiXenon/Sports.,privat,Angebot,13790,test,kombi,2011,manuell,143,a4,150000,1,diesel,audi,nein,2016-03-11 00:00:00,0,64404,2016-04-03 12:54:55
88680,2016-03-30 20:41:32,VW_PASSAT_1.8i_20V*LEDER*GEPFLEGT_INNEN_AUssEN*DEZENT*,privat,Angebot,2500,control,kombi,1998,manuell,125,passat,150000,7,benzin,volkswagen,nein,2016-03-30 00:00:00,0,7318,2016-04-03 11:45:29
208556,2016-03-21 01:57:30,Mercedes_E_280CDI_unfall,privat,Angebot,5500,test,limousine,2005,manuell,120,e_klasse,150000,10,diesel,mercedes_benz,ja,2016-03-21 00:00:00,0,51399,2016-04-05 22:45:38
170642,2016-03-29 10:48:41,Mercedes_Benz_A170_Elegance_Autotronic_Benzin,privat,Angebot,3999,control,bus,2005,automatik,116,a_klasse,125000,3,benzin,mercedes_benz,,2016-03-29 00:00:00,0,77933,2016-03-29 10:48:41
309933,2016-04-02 12:49:04,Peugeot_307_SW_2.0_HDi_TÜV_April_2018__Vollausstattung,privat,Angebot,4990,test,kombi,2006,manuell,136,3_reihe,150000,11,diesel,peugeot,nein,2016-04-02 00:00:00,0,21684,2016-04-06 10:46:54
154010,2016-03-22 16:56:02,Volkswagen_Golf_1.9_TDI_Joker,privat,Angebot,899,test,limousine,1997,manuell,90,golf,150000,1,diesel,volkswagen,ja,2016-03-22 00:00:00,0,37633,2016-04-06 08:17:42
155744,2016-03-05 17:56:05,Audi_A4_Ambiente_multitronic,privat,Angebot,23800,test,kombi,2013,automatik,170,a4,70000,3,benzin,audi,nein,2016-03-05 00:00:00,0,61191,2016-03-12 20:15:49
9393,2016-03-27 19:46:37,Volkswagen_Golf_2.0_TDI_DPF_Comfortline_119_g,privat,Angebot,9845,control,limousine,2009,manuell,110,golf,150000,8,diesel,volkswagen,nein,2016-03-27 00:00:00,0,6112,2016-04-05 17:45:11
360935,2016-04-05 10:50:27,Piaggio_Porter.._kipper.___Hydraulisch_,privat,Angebot,3199,test,kleinwagen,2004,manuell,0,,70000,10,benzin,sonstige_autos,nein,2016-04-05 00:00:00,0,60435,2016-04-05 12:26:04
213352,2016-03-26 17:46:48,Mercedes_Benz__E__Klasse_190E__Automatik_Benzin_TÜV_bis_2.2017,privat,Angebot,2190,control,limousine,1991,automatik,0,e_klasse,150000,1,benzin,mercedes_benz,nein,2016-03-26 00:00:00,0,25704,2016-04-06 06:45:03
284811,2016-03-16 21:52:49,Audi_a3_s3_1.8_TÜV_07.2017,privat,Angebot,1750,control,kleinwagen,1997,manuell,125,a3,150000,11,benzin,audi,nein,2016-03-16 00:00:00,0,47059,2016-03-30 20:46:10
214161,2016-03-05 18:51:41,Volkswagen_Touran_1.9_TDI,privat,Angebot,4800,test,bus,2006,manuell,105,touran,150000,5,diesel,volkswagen,nein,2016-03-05 00:00:00,0,30539,2016-03-05 21:44:09
184136,2016-03-22 10:43:44,Opel_Insignia_1.6_Turbo_Sports_Tourer_Cosmo,privat,Angebot,7750,control,kombi,2009,manuell,179,insignia,150000,3,benzin,opel,nein,2016-03-22 00:00:00,0,83527,2016-04-03 21:15:59
86174,2016-03-13 13:36:18,Audi_A6_3.0_TDI_S_line_Limousine,privat,Angebot,24800,test,limousine,2012,manuell,204,a6,150000,9,diesel,audi,nein,2016-03-13 00:00:00,0,46236,2016-03-15 17:46:02
128421,2016-04-05 01:47:01,VW_Polo_6n2_****_TÜV_NEU_****_Top_viele_Neuteile,privat,Angebot,2600,control,kleinwagen,2002,manuell,60,polo,150000,2,benzin,volkswagen,nein,2016-04-04 00:00:00,0,12629,2016-04-07 09:15:56
163697,2016-03-29 21:39:54,Anfaenger_Auto,privat,Angebot,300,test,kleinwagen,1995,manuell,40,,100000,0,benzin,fiat,nein,2016-03-29 00:00:00,0,22529,2016-03-29 21:39:54
348359,2016-03-28 10:39:34,Renault_TÜV_12_2017,privat,Angebot,1490,control,kleinwagen,2002,manuell,75,twingo,150000,6,benzin,renault,nein,2016-03-28 00:00:00,0,78549,2016-04-06 11:46:57
366189,2016-03-13 00:56:14,Volkswagen_Golf_Cabrio_1.8_Bon_Jovi,privat,Angebot,1999,control,cabrio,1997,manuell,75,golf,150000,1,benzin,volkswagen,nein,2016-03-13 00:00:00,0,69483,2016-03-30 02:15:24
320088,2016-04-02 19:54:13,Verkaufe_mein_Clk_209,privat,Angebot,0,control,coupe,2005,manuell,218,clk,150000,1,benzin,mercedes_benz,,2016-04-02 00:00:00,0,52134,2016-04-06 20:17:28
281202,2016-04-04 13:48:03,BMW_315,privat,Angebot,6900,control,coupe,1983,,0,3er,125000,10,,bmw,nein,2016-04-04 00:00:00,0,53913,2016-04-06 15:16:18
13992,2016-03-23 12:56:48,Mercedes_Benz_A170_cdi,privat,Angebot,750,control,kleinwagen,2001,manuell,0,,150000,0,,mercedes_benz,,2016-03-23 00:00:00,0,64354,2016-03-23 12:56:48
326923,2016-03-06 16:47:44,Ford_Mondeo_Bastlerfahrzeug_Teiletraeger_Export,privat,Angebot,0,test,limousine,1994,manuell,66,,150000,4,benzin,ford,nein,2016-03-06 00:00:00,0,55595,2016-03-09 15:18:30
185739,2016-03-14 13:38:56,Mercedes_Benz_C_200_Kompressor_Elegance,privat,Angebot,4500,test,limousine,2001,automatik,163,c_klasse,10000,1,benzin,mercedes_benz,nein,2016-03-14 00:00:00,0,64293,2016-04-05 13:46:56
9998,2016-03-28 20:44:11,zu_verkaufen_Audi_A3_8L_Mit_etwas_Tuning,privat,Angebot,1000,control,kleinwagen,1997,manuell,101,a3,150000,7,benzin,audi,ja,2016-03-28 00:00:00,0,41836,2016-04-07 02:47:10
365056,2016-03-20 07:37:03,Pkw__Lkw__Bulli._Bieten_Sie_einfach_mal_Alles.,privat,Angebot,0,control,,1980,,0,1er,150000,3,diesel,bmw,ja,2016-03-20 00:00:00,0,48612,2016-03-20 09:45:26
99814,2016-04-02 08:36:43,RENAULT_CLIO_ll__1.5_cdi,privat,Angebot,500,control,,2005,manuell,0,clio,5000,0,diesel,renault,,2016-04-02 00:00:00,0,23715,2016-04-06 06:15:29
57178,2016-03-25 13:51:21,SEAT_LEON_1.4_TSI_style_Top_Ausstattung,privat,Angebot,9200,test,limousine,2009,manuell,125,leon,100000,11,,seat,nein,2016-03-25 00:00:00,0,46459,2016-04-06 08:45:09
180075,2016-03-29 09:36:55,Golf_3_GTI_20_Jahre_Jubi__kein_VR6_G60_,privat,Angebot,1999,test,,2016,manuell,116,golf,150000,0,,volkswagen,,2016-03-29 00:00:00,0,17091,2016-04-05 17:25:55
213186,2016-03-25 13:51:47,Audi_A4_2.0_TFSI_Ambition_MMI_BIXENON_TEILLEDER_usw,privat,Angebot,12999,test,limousine,2009,manuell,179,a4,150000,1,benzin,audi,nein,2016-03-25 00:00:00,0,27711,2016-03-31 21:17:51
201486,2016-04-04 20:39:11,Audi_A3_1.9_TDI_Attraction,privat,Angebot,3250,control,limousine,2001,manuell,131,a3,150000,2,diesel,audi,nein,2016-04-04 00:00:00,0,74564,2016-04-04 20:39:11
107632,2016-03-11 09:52:10,Vw_golf_3_4_Tueren,privat,Angebot,400,control,,2017,,0,golf,150000,0,benzin,volkswagen,nein,2016-03-11 00:00:00,0,67822,2016-04-06 13:17:08
329692,2016-03-10 17:55:40,Wunderschoenes_BMW_3er_Cabrio,privat,Angebot,5600,control,cabrio,2000,automatik,170,3er,150000,8,benzin,bmw,nein,2016-03-10 00:00:00,0,10557,2016-04-05 19:46:09
244499,2016-04-04 20:52:26,Golf_3_VR6,privat,Angebot,2650,control,,2017,manuell,174,golf,150000,7,benzin,volkswagen,,2016-04-04 00:00:00,0,57413,2016-04-06 23:17:59
338037,2016-04-05 07:54:27,BMW_e36_Selten/MPAKET_Voll__no:316_318_318is_325_328_Liebhaber!,privat,Angebot,3590,test,limousine,1997,manuell,150,3er,150000,12,benzin,bmw,,2016-04-05 00:00:00,0,75015,2016-04-05 09:43:12
164757,2016-03-20 23:48:45,Chevy_C10_Silverado_Pick_up_V8,privat,Angebot,8990,control,,2017,automatik,173,andere,150000,7,benzin,chevrolet,nein,2016-03-20 00:00:00,0,67071,2016-04-01 14:18:47
1202,2016-03-10 11:53:00,FORD_FOCUS_TDCI__TOP_ZUSTAND_TÜV_bis_4/2017_____DIESEL,privat,Angebot,1700,test,limousine,2004,manuell,115,focus,150000,6,diesel,ford,,2016-03-10 00:00:00,0,78532,2016-03-24 13:45:50
85296,2016-03-16 21:49:34,Opel_Astra,privat,Angebot,950,control,kleinwagen,1998,manuell,75,,5000,5,,sonstige_autos,,2016-03-16 00:00:00,0,67547,2016-03-19 21:18:20
236410,2016-04-05 09:56:29,Golf_4__Servo_A_Kupplung_E_Paket_,privat,Angebot,650,control,,2016,manuell,0,golf,150000,0,benzin,volkswagen,,2016-04-05 00:00:00,0,13583,2016-04-05 10:45:38
56873,2016-04-01 16:37:35,Volkswagen_Passat_2.0_TDI_Kombi_Tempomat_Sitzheizung_Klima,privat,Angebot,4150,control,kombi,2006,manuell,140,passat,150000,10,diesel,volkswagen,nein,2016-04-01 00:00:00,0,42655,2016-04-01 16:37:35
330465,2016-04-06 11:36:19,Peugeot_206_HDi_90_Style,privat,Angebot,999,test,kleinwagen,2001,manuell,90,2_reihe,150000,4,diesel,peugeot,nein,2016-04-06 00:00:00,0,37412,2016-04-06 11:36:19
44229,2016-03-27 20:53:13,MINI_Cooper_D_Countryman_All4__Chili__Winterraeder,privat,Angebot,16499,control,suv,2012,manuell,111,cooper,40000,5,diesel,mini,nein,2016-03-27 00:00:00,0,55270,2016-04-05 20:46:14
114240,2016-03-26 08:50:35,3x_Opel_wegen_Hobbyaufgabe,privat,Angebot,1500,test,limousine,1972,manuell,37,andere,150000,3,benzin,opel,ja,2016-03-26 00:00:00,0,35576,2016-03-26 17:07:40
195329,2016-03-31 22:53:15,Renault_Clio_1.2,privat,Angebot,700,test,kleinwagen,1999,manuell,0,clio,90000,9,benzin,renault,nein,2016-03-31 00:00:00,0,25917,2016-04-06 20:48:11
21234,2016-04-04 23:41:31,Renault_Clio_II_1_2_16V,privat,Angebot,1480,control,kleinwagen,2002,manuell,75,clio,150000,8,benzin,renault,,2016-04-04 00:00:00,0,46045,2016-04-07 02:17:11
68582,2016-03-05 16:58:04,Gut_erhaltener_VW_Golf_4_in_schwarz,privat,Angebot,1999,control,kleinwagen,2003,manuell,105,golf,150000,1,benzin,volkswagen,ja,2016-03-05 00:00:00,0,54552,2016-04-01 06:47:28
