,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
92998,2016-03-07 15:57:49,Golf_3_Cabrio_TÜV_neu_und_frisch_poliert,privat,Angebot,2000,control,,1995,manuell,90,golf,150000,5,,volkswagen,nein,2016-03-07 00:00:00,0,45711,2016-03-07 20:47:08
223160,2016-03-09 20:55:57,Omega_B_Caravan_MV6_3l_211_PS,privat,Angebot,800,test,kombi,1996,automatik,211,omega,150000,0,benzin,opel,,2016-03-09 00:00:00,0,41541,2016-03-27 20:45:24
308750,2016-04-02 13:53:13,Opel_Astra_2.2_Caravan_XENON_Klima,privat,Angebot,1600,test,kombi,2002,manuell,147,astra,150000,3,benzin,opel,nein,2016-04-02 00:00:00,0,34253,2016-04-06 12:46:10
98439,2016-03-28 13:42:50,Mercedes_Benz_W211___E_280_Avantgarde__,privat,Angebot,7500,test,limousine,2005,automatik,177,e_klasse,150000,5,diesel,mercedes_benz,,2016-03-28 00:00:00,0,10967,2016-04-06 16:46:44
178829,2016-03-30 21:52:50,Volkswagen_Golf_GTI_Performance_BlueMotion_Technology_DSG,privat,Angebot,29900,test,limousine,2014,automatik,230,golf,30000,7,benzin,volkswagen,nein,2016-03-30 00:00:00,0,82178,2016-04-05 12:20:36
296704,2016-03-31 21:51:18,Volkswagen_Touran_1.4_TSI_Highline,privat,Angebot,6950,test,bus,2007,manuell,140,touran,100000,2,benzin,volkswagen,nein,2016-03-31 00:00:00,0,64291,2016-03-31 21:51:18
195298,2016-03-30 11:50:36,Audi_A4_1.6l,privat,Angebot,1000,test,,2016,manuell,75,a4,150000,4,benzin,audi,,2016-03-30 00:00:00,0,17438,2016-04-04 23:46:10
133619,2016-03-12 19:41:44,Audi_A3_1.6_P,privat,Angebot,7395,test,limousine,2008,manuell,102,a3,100000,8,benzin,audi,nein,2016-03-12 00:00:00,0,53721,2016-03-26 04:46:12
199722,2016-03-12 11:49:13,Peugeot_206_CC_1_6_Quicksilver_Tuev_bis_2018_2_Hand_1A_2005_bj,privat,Angebot,2490,test,cabrio,2004,manuell,109,2_reihe,150000,12,benzin,peugeot,nein,2016-03-12 00:00:00,0,45770,2016-03-12 11:49:13
344729,2016-03-27 01:51:36,Skoda_Octavia_Kombi_1Z_1.6_MPI_mit_Komfort_Sportausstattung,privat,Angebot,7000,test,kombi,2006,manuell,102,octavia,150000,6,benzin,skoda,nein,2016-03-26 00:00:00,0,13159,2016-04-07 03:15:26
4517,2016-03-24 13:58:56,Volkswagen_up!_ASG_move_up!,privat,Angebot,9200,control,kleinwagen,2015,automatik,75,up,5000,4,benzin,volkswagen,nein,2016-03-24 00:00:00,0,68789,2016-04-01 09:18:20
341848,2016-04-03 11:42:33,Opel_Astra_2.0_CDTI_Active,privat,Angebot,15300,control,limousine,2013,manuell,165,astra,50000,4,diesel,opel,nein,2016-04-03 00:00:00,0,66885,2016-04-07 12:44:56
230047,2016-03-15 14:52:24,___>_BMW_M4_GTS_<___,privat,Angebot,0,control,coupe,2016,automatik,500,m_reihe,100000,6,benzin,bmw,nein,2016-03-15 00:00:00,0,70839,2016-04-06 05:16:42
275648,2016-04-02 14:50:19,Opel_Agila_1.2_Edition,privat,Angebot,4890,control,kleinwagen,2008,manuell,86,agila,80000,4,benzin,opel,nein,2016-04-02 00:00:00,0,60599,2016-04-05 21:16:45
163451,2016-03-17 13:53:26,Hyundai_i10_1.2_Fifa_World_Cup_Edition,privat,Angebot,8800,control,kleinwagen,2014,manuell,87,i_reihe,30000,5,benzin,hyundai,nein,2016-03-17 00:00:00,0,34127,2016-04-04 16:47:32
308817,2016-03-27 23:25:21,Volkswagen_Golf_Plus_1.4_TSI,privat,Angebot,11899,test,bus,2011,manuell,122,golf,50000,10,benzin,volkswagen,nein,2016-03-27 00:00:00,0,35792,2016-04-06 03:15:56
118353,2016-04-04 10:37:21,Peugeot_206_1.6_Servo_Klima_Bj_2000_viele_Teile_Neu_Neue_Kupplung,privat,Angebot,499,control,kleinwagen,2000,manuell,88,2_reihe,150000,6,benzin,peugeot,,2016-04-04 00:00:00,0,42103,2016-04-04 11:41:44
117476,2016-04-01 20:56:57,Mercedes_Benz_CL_63_AMG_MB_Garantie_Drivers/Performance,privat,Angebot,43999,test,coupe,2007,automatik,525,cl,70000,8,benzin,mercedes_benz,nein,2016-04-01 00:00:00,0,44379,2016-04-05 19:16:07
69793,2016-03-30 19:43:49,Opel_Corsa_1.2_16V_Edition,privat,Angebot,5000,test,kleinwagen,2009,manuell,80,corsa,90000,4,benzin,opel,nein,2016-03-30 00:00:00,0,42115,2016-04-07 10:47:11
221099,2016-03-15 22:50:58,VW_POLO_6N2_1_4_COMFORTLINE,privat,Angebot,790,control,,2017,manuell,75,polo,150000,0,benzin,volkswagen,nein,2016-03-15 00:00:00,0,37603,2016-03-29 04:15:30
254845,2016-04-05 02:36:22,Verkaufe_Passat_35i,privat,Angebot,900,test,,1990,manuell,90,passat,150000,0,benzin,volkswagen,,2016-04-05 00:00:00,0,52156,2016-04-07 11:15:26
157877,2016-03-28 14:48:04,Buick_Park_Avenue__rote_Innenausstung__Satter_V6_Sound,privat,Angebot,3490,test,limousine,1991,automatik,173,,150000,9,benzin,sonstige_autos,nein,2016-03-28 00:00:00,0,88299,2016-04-06 19:16:02
216135,2016-03-10 13:53:21,Mercedes_Benz_C220_CDI__Gruen_Plakette,privat,Angebot,990,test,,2016,manuell,0,c_klasse,150000,0,diesel,mercedes_benz,,2016-03-10 00:00:00,0,89340,2016-04-07 09:45:43
295777,2016-03-05 15:55:59,Volkswagen_Golf_1.4_CL_Europe,privat,Angebot,500,control,limousine,1994,manuell,60,golf,150000,11,benzin,volkswagen,nein,2016-03-05 00:00:00,0,94344,2016-03-12 08:46:21
104904,2016-03-22 19:45:37,Opel_corsa_d,privat,Angebot,4500,test,kleinwagen,2008,manuell,60,corsa,150000,0,benzin,opel,nein,2016-03-22 00:00:00,0,27336,2016-03-26 21:18:34
294836,2016-03-23 19:52:03,Opel_Meriva_B_Edition_1_4_Benzin_74KW_Schaltgetriebe_Nur_28000_KM,privat,Angebot,9250,control,,2018,manuell,0,meriva,30000,1,benzin,opel,nein,2016-03-23 00:00:00,0,59425,2016-04-06 01:15:51
206265,2016-03-25 12:37:18,A4__2.0_TDI_INDIVIDUAL_S_LINE,privat,Angebot,4200,test,kombi,2008,manuell,140,a4,150000,3,diesel,audi,nein,2016-03-25 00:00:00,0,71636,2016-03-25 12:37:18
304145,2016-04-03 18:43:40,Volkswagen_Golf_Cabrio,privat,Angebot,2200,control,cabrio,1991,manuell,98,golf,150000,5,benzin,volkswagen,nein,2016-04-03 00:00:00,0,41352,2016-04-03 18:43:40
68794,2016-03-26 19:57:40,Subaru_Impreza_2.0_4WD_GL_Season___Klima___TÜV_Neu,privat,Angebot,1590,control,limousine,1998,manuell,125,impreza,150000,12,benzin,subaru,ja,2016-03-26 00:00:00,0,92723,2016-04-06 10:15:21
3293,2016-03-22 07:56:31,Opel_Astra_zu_verkaufen,privat,Angebot,1300,control,coupe,1998,automatik,115,astra,150000,0,,opel,,2016-03-22 00:00:00,0,38828,2016-03-25 00:17:12
222265,2016-03-08 18:51:20,Mercedes_Benz_E200_T_Elegance_AHK,privat,Angebot,650,test,,2000,manuell,0,e_klasse,150000,0,benzin,mercedes_benz,nein,2016-03-08 00:00:00,0,45768,2016-03-11 15:17:04
138245,2016-03-25 21:40:18,Gepflegter_Hjundai_i10_in_weiss__1.Hand,privat,Angebot,3450,test,kleinwagen,2009,manuell,0,andere,80000,3,benzin,hyundai,nein,2016-03-25 00:00:00,0,53489,2016-04-07 03:46:51
210242,2016-03-09 20:39:34,Mercedes_Benz_C_63_AMG_SPEEDSHIFT_Performance_Carbon_Keyless,privat,Angebot,40999,test,limousine,2011,automatik,487,c_klasse,100000,11,benzin,mercedes_benz,nein,2016-03-09 00:00:00,0,45219,2016-03-11 04:46:19
158553,2016-03-12 13:46:17,BMW_320d_DPF_Touring,privat,Angebot,10400,control,kombi,2008,manuell,177,3er,125000,5,diesel,bmw,nein,2016-03-12 00:00:00,0,94107,2016-04-06 20:19:37
290603,2016-03-22 21:44:02,VW_Caddy_1_6_TDI_reserviert_bis_Donnerstag,privat,Angebot,6200,control,,2011,,75,caddy,150000,9,diesel,volkswagen,,2016-03-22 00:00:00,0,56459,2016-03-24 09:30:29
34576,2016-03-31 17:54:31,Mercedes_Citan_109,privat,Angebot,9300,control,kombi,2012,manuell,90,andere,150000,10,diesel,mercedes_benz,,2016-03-31 00:00:00,0,26180,2016-03-31 17:54:31
174967,2016-03-14 15:49:08,BMW_318td_*Tempomat*Xenon*,privat,Angebot,3600,test,limousine,2003,manuell,116,3er,150000,12,diesel,bmw,nein,2016-03-14 00:00:00,0,35510,2016-04-06 16:18:02
167713,2016-03-11 11:59:22,Mitsubishi_Pajero_Pinin_blau,privat,Angebot,2800,control,suv,2001,manuell,120,pajero,100000,12,,mitsubishi,nein,2016-03-11 00:00:00,0,74357,2016-03-11 11:59:22
128954,2016-03-19 12:53:28,Mercedes_Benz_R_320_CDI_L_4Matic_7G_TRONIC,privat,Angebot,18250,test,bus,2009,automatik,224,andere,100000,9,diesel,mercedes_benz,nein,2016-03-19 00:00:00,0,71364,2016-04-06 17:46:10
88342,2016-03-19 02:37:56,Kia_Picanto_1.1_CRDi_LX,privat,Angebot,3050,test,limousine,2007,manuell,0,picanto,150000,4,diesel,kia,nein,2016-03-18 00:00:00,0,40235,2016-04-06 05:16:54
153355,2016-03-16 17:45:44,MINI_Cooper_SD_Countryman_All4_Aut.,privat,Angebot,23900,control,kleinwagen,2013,automatik,143,cooper,40000,5,diesel,mini,nein,2016-03-16 00:00:00,0,66787,2016-03-21 20:19:06
267201,2016-03-22 17:48:43,BMW_520i,privat,Angebot,3999,control,limousine,2001,manuell,170,5er,150000,1,benzin,bmw,nein,2016-03-22 00:00:00,0,45279,2016-04-06 09:17:03
134289,2016-03-10 13:47:13,Fiat_Punto_Sporting,privat,Angebot,0,test,kleinwagen,1999,manuell,85,punto,150000,6,benzin,fiat,,2016-03-10 00:00:00,0,51107,2016-03-16 21:46:20
364210,2016-04-01 15:53:40,Opel_Vectra_2.2,privat,Angebot,3850,test,limousine,2004,automatik,155,vectra,150000,7,benzin,opel,nein,2016-04-01 00:00:00,0,79312,2016-04-05 11:44:50
221042,2016-03-09 21:56:20,Mercedes_Benz_CE_230_EURO_4_!!!_TOP_ZUSTAND_TÜV_NEU_w123_SEC,privat,Angebot,13900,test,coupe,1984,manuell,136,andere,150000,5,benzin,mercedes_benz,nein,2016-03-09 00:00:00,0,80809,2016-03-14 18:45:01
249723,2016-03-21 20:52:33,Opel_Vectra_1_8_L,privat,Angebot,400,control,,2016,manuell,108,vectra,150000,0,benzin,opel,nein,2016-03-21 00:00:00,0,24864,2016-04-07 00:44:41
368940,2016-03-10 21:45:05,Nissan_Micra_1.0_Servo___TÜV_NEU,privat,Angebot,690,control,kleinwagen,1995,manuell,54,micra,150000,8,benzin,nissan,nein,2016-03-10 00:00:00,0,58089,2016-03-11 10:16:33
160593,2016-03-17 17:59:13,VW_EOS_1.4_TSI_Bj.2009_160Ps,privat,Angebot,10450,control,cabrio,2009,manuell,160,eos,70000,4,benzin,volkswagen,nein,2016-03-17 00:00:00,0,58553,2016-04-07 05:16:53
157845,2016-03-09 09:55:29,Opel_Astra_F_1_6i_8v___mit_Tuev_10/16__und_Klimaanlage,privat,Angebot,349,test,limousine,1997,manuell,75,astra,150000,11,benzin,opel,ja,2016-03-09 00:00:00,0,73577,2016-04-03 10:45:37
176418,2016-03-28 14:54:28,VW_Polo_1.2,privat,Angebot,1200,test,limousine,2003,manuell,54,polo,150000,4,benzin,volkswagen,nein,2016-03-28 00:00:00,0,50126,2016-03-31 23:17:01
467,2016-03-21 21:46:45,Opel_Corsa_1.2_16V___2_HAND__KLIMA__8_FACH_TÜV_NEU!!!,privat,Angebot,2238,control,kleinwagen,2003,manuell,75,corsa,125000,5,benzin,opel,nein,2016-03-21 00:00:00,0,1067,2016-03-24 11:46:38
308528,2016-03-16 18:50:41,Mercedes_Benz_E_240_Elegance_/_Sehr_gepflegt_1_Hand,privat,Angebot,8250,control,limousine,2005,automatik,177,e_klasse,125000,11,benzin,mercedes_benz,nein,2016-03-16 00:00:00,0,10963,2016-04-07 03:16:08
150330,2016-04-04 17:58:51,Audi_A3_2.0_TDI_Attraction,privat,Angebot,6299,test,limousine,2005,manuell,140,a3,150000,9,diesel,audi,nein,2016-04-04 00:00:00,0,89312,2016-04-06 19:48:51
68004,2016-03-07 17:57:13,Opel_Astra_1.6_Sport,privat,Angebot,3190,test,limousine,2006,manuell,105,astra,100000,11,benzin,opel,nein,2016-03-07 00:00:00,0,4552,2016-03-30 06:16:48
108441,2016-04-01 17:49:56,Renault_Modus_1.2_16V__TÜV_04/2018__8_Fach_bereift,privat,Angebot,2900,test,kleinwagen,2005,manuell,75,modus,90000,4,,renault,nein,2016-04-01 00:00:00,0,90763,2016-04-05 13:16:48
281748,2016-04-02 08:51:35,Opel_Corsa_D_1.3_CDTI_Tuev_3.18_Diesel_90_PS,privat,Angebot,3500,control,kleinwagen,2008,manuell,90,corsa,150000,6,diesel,opel,nein,2016-04-02 00:00:00,0,24329,2016-04-06 07:15:35
75242,2016-03-16 11:38:36,Ford_Fiesta,privat,Angebot,800,test,kleinwagen,1994,manuell,60,fiesta,60000,3,benzin,ford,ja,2016-03-16 00:00:00,0,27637,2016-03-22 14:50:04
92279,2016-03-19 11:45:43,Volkswagen_Golf_GTD_BlueMotion_Technology_DSG,privat,Angebot,24999,test,limousine,2014,automatik,184,golf,50000,2,diesel,volkswagen,nein,2016-03-19 00:00:00,0,53604,2016-04-04 12:46:18
111147,2016-03-24 13:49:44,Opel_Corsa_Advanteg,privat,Angebot,580,control,kleinwagen,1997,manuell,45,corsa,150000,6,benzin,opel,,2016-03-24 00:00:00,0,56594,2016-04-06 00:45:33
143047,2016-03-28 12:46:41,VW_TRANSPORTER_2.5TDI__SYNCRO,privat,Angebot,3250,test,bus,2002,manuell,102,transporter,150000,7,diesel,volkswagen,nein,2016-03-28 00:00:00,0,91154,2016-03-28 12:46:41
68772,2016-03-16 07:01:24,Volkswagen_Golf_1.6_/_HU_/_ABS_/_Servolenkung,privat,Angebot,999,control,limousine,1996,manuell,75,golf,150000,6,benzin,volkswagen,nein,2016-03-16 00:00:00,0,29323,2016-04-06 01:17:47
343041,2016-03-07 20:51:04,Chrysler_PT_Cruiser_2_2_Crd_!!!!!,privat,Angebot,1800,test,,2005,manuell,0,ptcruiser,150000,7,diesel,chrysler,nein,2016-03-07 00:00:00,0,26607,2016-03-21 04:46:08
15681,2016-03-09 20:43:49,Renault_Megane_1.6_Avantage,privat,Angebot,2900,test,limousine,2008,manuell,111,megane,150000,7,lpg,renault,ja,2016-03-09 00:00:00,0,14532,2016-03-16 04:45:10
69653,2016-03-15 11:47:54,Seat_Ibiza_Sport_1_4_16_V,privat,Angebot,6500,test,kleinwagen,2009,manuell,86,ibiza,80000,11,,seat,,2016-03-15 00:00:00,0,97633,2016-04-05 23:18:06
3687,2016-03-25 18:50:41,Volkswagen_VW_Bora_1.6_Special_2.Hand___S_Heft__Klima__Temp,privat,Angebot,3150,test,limousine,2001,manuell,105,bora,125000,11,benzin,volkswagen,nein,2016-03-25 00:00:00,0,93047,2016-04-02 23:45:24
264810,2016-03-11 17:40:36,Opel_Astra_1_6_Easytronic_TÜV_bis_10/2016_sehr_gepflegt,privat,Angebot,3750,control,limousine,2005,automatik,105,astra,125000,11,benzin,opel,nein,2016-03-11 00:00:00,0,13593,2016-03-12 21:48:29
184927,2016-03-08 20:43:55,Nissan_X_Trail_2.5_4x4_Aut._Elegance_m.Prins_Gasanlage,privat,Angebot,6999,control,suv,2005,automatik,165,x_trail,150000,9,benzin,nissan,nein,2016-03-08 00:00:00,0,31582,2016-03-09 12:16:49
284604,2016-03-23 11:37:42,Seat_Ibiza_zu_verkaufen,privat,Angebot,450,test,kleinwagen,2000,manuell,59,ibiza,30000,5,benzin,seat,nein,2016-03-23 00:00:00,0,40231,2016-03-24 19:45:13
287876,2016-04-01 14:53:51,Pampersbomber_Zafira_A_7_Sitzer_TÜV_08/16_evtl_Tausch_gegen_komvi,privat,Angebot,1450,test,bus,2000,manuell,128,zafira,150000,7,benzin,opel,nein,2016-04-01 00:00:00,0,47166,2016-04-03 11:48:45
156504,2016-04-01 17:54:28,S_Klasse_320_CDI_Sondermodel_250PS,privat,Angebot,3500,test,limousine,2000,automatik,250,s_klasse,150000,12,,mercedes_benz,,2016-04-01 00:00:00,0,26871,2016-04-05 13:44:38
276375,2016-03-22 19:52:46,Ford_Focus_Turnier_Ambiente_Rentnerfahrzeug_oh._Radio,privat,Angebot,1500,test,kombi,1999,manuell,75,focus,80000,9,benzin,ford,nein,2016-03-22 00:00:00,0,21706,2016-04-02 14:46:31
34796,2016-04-02 11:50:55,320_d_M_Paket,privat,Angebot,2300,test,limousine,2003,,0,3er,150000,11,diesel,bmw,nein,2016-04-02 00:00:00,0,48527,2016-04-02 11:50:55
187405,2016-03-23 19:31:39,Volkswagen_Golf_1.6_FSI_Automatik_Sportline,privat,Angebot,6950,test,limousine,2005,automatik,116,golf,90000,9,benzin,volkswagen,nein,2016-03-23 00:00:00,0,65552,2016-03-27 03:46:39
272159,2016-03-11 16:45:45,Mercedes_Benz_S_350,privat,Angebot,3800,test,limousine,2003,automatik,245,s_klasse,150000,1,benzin,mercedes_benz,ja,2016-03-11 00:00:00,0,89150,2016-04-03 15:45:37
290640,2016-03-16 20:55:10,BMW_525D_E61_Bj._06/2016___287000km,privat,Angebot,7600,control,kombi,2006,automatik,177,5er,150000,6,diesel,bmw,,2016-03-16 00:00:00,0,40667,2016-03-19 20:16:12
239240,2016-03-08 20:49:53,Opel_Vectra_C_Caravan,privat,Angebot,2000,control,kombi,2004,manuell,120,vectra,150000,3,diesel,opel,nein,2016-03-08 00:00:00,0,45549,2016-03-16 07:16:27
185106,2016-03-20 10:38:50,Mercedes_Benz_A_170_Classic,privat,Angebot,2300,control,limousine,2006,manuell,116,a_klasse,150000,2,benzin,mercedes_benz,ja,2016-03-20 00:00:00,0,21614,2016-04-02 08:47:03
301498,2016-03-23 08:51:44,Ford_Fiesta_D,privat,Angebot,0,control,kleinwagen,2001,manuell,55,fiesta,125000,9,benzin,ford,nein,2016-03-23 00:00:00,0,46483,2016-03-27 12:47:38
45165,2016-04-02 13:47:51,Verkauft_wird_unser_kombi,privat,Angebot,800,test,kombi,1997,automatik,125,passat,150000,11,benzin,volkswagen,,2016-04-02 00:00:00,0,16547,2016-04-04 11:17:03
17147,2016-03-17 21:46:29,Renault_Scenic_1_6_TÜV_neu____Automatik,privat,Angebot,1850,test,bus,2000,automatik,107,scenic,125000,4,benzin,renault,,2016-03-17 00:00:00,0,25524,2016-03-19 22:17:00
326896,2016-03-19 16:40:28,FORD_FOCUS_2.0_TURNIER,privat,Angebot,3200,test,,2016,manuell,145,focus,150000,6,,ford,,2016-03-19 00:00:00,0,55543,2016-04-07 02:15:21
209636,2016-03-29 14:52:54,Audi_A4_2.0_TDI_DPF_Ambiente,privat,Angebot,18500,test,limousine,2013,manuell,120,a4,125000,3,diesel,audi,nein,2016-03-29 00:00:00,0,6449,2016-04-06 00:44:33
107993,2016-03-31 13:37:33,Audi_A4_Avant_3.0_TDI_DPF_quattro,privat,Angebot,4200,control,kombi,2005,manuell,204,a4,150000,7,diesel,audi,ja,2016-03-31 00:00:00,0,42929,2016-04-02 08:18:43
360738,2016-03-21 12:49:45,VW_Passat_3BG_1.9_TDI_DPF_2003_Vollausstattung,privat,Angebot,4000,control,kombi,2003,automatik,131,passat,150000,10,diesel,volkswagen,,2016-03-21 00:00:00,0,50769,2016-04-06 07:45:34
331574,2016-03-08 13:57:47,Peugeot_306_Break_DT,privat,Angebot,900,control,kombi,1999,manuell,90,3_reihe,150000,1,diesel,peugeot,nein,2016-03-08 00:00:00,0,77796,2016-03-17 06:17:59
365482,2016-03-19 12:55:20,BMW_525D_F10_Grosse_Navi_SUPER_PREIS,privat,Angebot,22000,test,limousine,2010,manuell,204,5er,90000,5,diesel,bmw,nein,2016-03-19 00:00:00,0,55469,2016-03-24 12:15:45
29190,2016-03-15 10:41:16,Ford_focus_mk_2_Sport_Edition,privat,Angebot,4600,control,coupe,2006,manuell,140,,150000,6,diesel,ford,,2016-03-15 00:00:00,0,12049,2016-03-23 15:49:46
354004,2016-04-01 11:59:36,Ford_Focus_limuzine_klima_tuv_diesel_top_auto,privat,Angebot,1490,test,limousine,2003,manuell,0,focus,150000,7,diesel,ford,nein,2016-04-01 00:00:00,0,86154,2016-04-01 12:39:52
138727,2016-03-09 09:37:36,Mini_Cooper_one_116ps_TÜV_bis_2017!,privat,Angebot,4000,test,kleinwagen,2001,manuell,116,cooper,150000,12,benzin,mini,nein,2016-03-09 00:00:00,0,64297,2016-04-07 14:33:04
217222,2016-03-09 23:51:20,Ford_Ford_C_Max_1.6_TDCI_DPF_Euro4,privat,Angebot,3450,test,bus,2005,manuell,109,c_max,150000,1,diesel,ford,nein,2016-03-09 00:00:00,0,73108,2016-04-05 19:18:24
270741,2016-03-13 19:42:52,Passat_2.0_TDI_DPF_4Motion_SPORTLINE_VOLL,privat,Angebot,4000,control,limousine,2007,manuell,140,passat,150000,10,diesel,volkswagen,,2016-03-13 00:00:00,0,95326,2016-03-13 19:42:52
245094,2016-03-11 19:47:07,Golf_4_in_Schwarz,privat,Angebot,1800,test,limousine,2001,manuell,170,golf,150000,3,benzin,volkswagen,nein,2016-03-11 00:00:00,0,34621,2016-04-06 00:46:54
366452,2016-03-05 14:17:05,Lada_Niva_1.7i,privat,Angebot,3666,test,suv,2008,manuell,82,niva,80000,2,benzin,lada,nein,2016-03-04 00:00:00,0,35638,2016-03-07 12:17:35
362052,2016-03-30 20:56:24,Opel_Corsa_1.0_12V_Cosmo_Klima_TÜV_09_2017,privat,Angebot,1899,control,kleinwagen,2004,automatik,60,corsa,90000,4,benzin,opel,nein,2016-03-30 00:00:00,0,47877,2016-04-07 14:32:15
84037,2016-03-10 16:38:53,Opel_vectra_1_6,privat,Angebot,500,control,kombi,2000,manuell,0,vectra,150000,1,benzin,opel,,2016-03-10 00:00:00,0,48167,2016-03-17 01:45:48
259918,2016-03-12 08:52:47,Fiat_punto_2_Jahre_tuev_und_Klima,privat,Angebot,1550,control,kleinwagen,2001,manuell,60,,90000,1,,fiat,,2016-03-12 00:00:00,0,44867,2016-03-20 04:17:16
221710,2016-03-19 19:45:55,Ich_suche_dringend_ein_Auto_mit_TÜV!,privat,Angebot,500,control,,1995,,0,,100000,1,,sonstige_autos,,2016-03-19 00:00:00,0,4205,2016-03-20 22:15:46
301899,2016-04-01 19:40:35,BMW_525d_Touring_Sport_Aut.,privat,Angebot,22900,control,kombi,2011,automatik,204,5er,125000,1,diesel,bmw,nein,2016-04-01 00:00:00,0,47178,2016-04-05 15:45:01
297766,2016-03-21 19:36:25,Renault_Megane_Scenic_mit_Tuev_06.16,privat,Angebot,120,test,,2016,manuell,0,scenic,150000,6,,renault,ja,2016-03-21 00:00:00,0,14776,2016-03-27 04:44:55
